* Measurement data measured by REW V5.19
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS  With no timing reference
* Dated: Dec 21, 2020 11:50:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FD5 (R) narrow; triple L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 20.141602 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
306.152, 95.825, 162.792
306.519, 95.820, 162.822
306.885, 95.819, 162.851
307.251, 95.819, 162.867
307.617, 95.818, 162.878
307.983, 95.815, 162.897
308.350, 95.814, 162.931
308.716, 95.816, 162.966
309.082, 95.820, 162.976
309.448, 95.823, 162.949
309.814, 95.819, 162.895
310.181, 95.807, 162.851
310.547, 95.791, 162.853
310.913, 95.776, 162.908
311.279, 95.768, 162.983
311.646, 95.766, 163.031
312.012, 95.765, 163.024
312.378, 95.758, 162.980
312.744, 95.742, 162.950
313.110, 95.723, 162.977
313.477, 95.708, 163.062
313.843, 95.706, 163.157
314.209, 95.711, 163.202
314.575, 95.717, 163.171
314.941, 95.715, 163.098
315.308, 95.703, 163.047
315.674, 95.688, 163.065
316.040, 95.680, 163.144
316.406, 95.686, 163.219
316.772, 95.700, 163.218
317.139, 95.711, 163.120
317.505, 95.706, 162.971
317.871, 95.683, 162.863
318.237, 95.651, 162.873
318.604, 95.625, 163.016
318.970, 95.617, 163.231
319.336, 95.629, 163.417
319.702, 95.652, 163.495
320.068, 95.672, 163.449
320.435, 95.679, 163.328
320.801, 95.670, 163.209
321.167, 95.650, 163.153
321.533, 95.629, 163.178
321.899, 95.615, 163.255
322.266, 95.611, 163.329
322.632, 95.612, 163.362
322.998, 95.611, 163.347
323.364, 95.604, 163.311
323.730, 95.591, 163.293
324.097, 95.577, 163.321
324.463, 95.567, 163.388
324.829, 95.565, 163.464
325.195, 95.570, 163.511
325.562, 95.576, 163.510
325.928, 95.579, 163.470
326.294, 95.575, 163.424
326.660, 95.567, 163.403
327.026, 95.557, 163.422
327.393, 95.552, 163.469
327.759, 95.552, 163.518
328.125, 95.554, 163.543
328.491, 95.556, 163.538
328.857, 95.554, 163.515
329.224, 95.547, 163.498
329.590, 95.536, 163.505
329.956, 95.526, 163.541
330.322, 95.518, 163.595
330.688, 95.513, 163.648
331.055, 95.510, 163.691
331.421, 95.506, 163.723
331.787, 95.503, 163.751
332.153, 95.500, 163.776
332.520, 95.498, 163.792
332.886, 95.498, 163.786
333.252, 95.495, 163.753
333.618, 95.488, 163.704
333.984, 95.475, 163.668
334.351, 95.459, 163.670
334.717, 95.444, 163.716
335.083, 95.436, 163.787
335.449, 95.435, 163.850
335.815, 95.437, 163.879
336.182, 95.438, 163.873
336.548, 95.435, 163.856
336.914, 95.428, 163.854
337.280, 95.422, 163.878
337.646, 95.418, 163.917
338.013, 95.419, 163.947
338.379, 95.420, 163.953
338.745, 95.418, 163.938
339.111, 95.413, 163.922
339.478, 95.404, 163.925
339.844, 95.395, 163.951
340.210, 95.389, 163.991
340.576, 95.385, 164.028
340.942, 95.382, 164.052
341.309, 95.378, 164.065
341.675, 95.372, 164.077
342.041, 95.365, 164.099
342.407, 95.359, 164.133
342.773, 95.355, 164.171
343.140, 95.352, 164.204
343.506, 95.351, 164.223
343.872, 95.349, 164.229
344.238, 95.346, 164.227
344.604, 95.341, 164.227
344.971, 95.336, 164.236
345.337, 95.330, 164.256
345.703, 95.327, 164.281
346.069, 95.325, 164.299
346.436, 95.324, 164.304
346.802, 95.321, 164.298
347.168, 95.315, 164.293
347.534, 95.308, 164.300
347.900, 95.301, 164.326
348.267, 95.296, 164.362
348.633, 95.294, 164.392
348.999, 95.293, 164.402
349.365, 95.290, 164.395
349.731, 95.283, 164.387
350.098, 95.273, 164.400
350.464, 95.264, 164.438
350.830, 95.259, 164.491
351.196, 95.257, 164.536
351.562, 95.258, 164.556
351.929, 95.257, 164.554
352.295, 95.252, 164.547
352.661, 95.246, 164.554
353.027, 95.241, 164.579
353.394, 95.238, 164.610
353.760, 95.238, 164.627
354.126, 95.238, 164.622
354.492, 95.235, 164.603
354.858, 95.228, 164.591
355.225, 95.220, 164.604
355.591, 95.213, 164.642
355.957, 95.210, 164.688
356.323, 95.211, 164.721
356.689, 95.213, 164.728
357.056, 95.212, 164.713
357.422, 95.207, 164.694
357.788, 95.199, 164.690
358.154, 95.190, 164.708
358.521, 95.183, 164.745
358.887, 95.179, 164.785
359.253, 95.176, 164.816
359.619, 95.173, 164.832
359.985, 95.169, 164.841
360.352, 95.163, 164.855
360.718, 95.156, 164.881
